"Nummer";"Län (lokal)";"Art";"Datum";"Vatten";"Sweref99 N (Vatten)";"Sweref99 E (Vatten)";"Lokal";"sweref99N";"sweref99E";"Metodik";"Förekomst"
1966;"Blekinge län";"Signalkräfta";"2014-09-11";"ÖSTRA ORLUNDSÅN";6222773;479704;"Östra orlundsån, nedre skärpinge";6225519;479522;"Elfiske";"Säker"
1967;"Blekinge län";"Signalkräfta";"2013-08-07";"ÖSTRA ORLUNDSÅN";6222773;479704;"Östra orlundsån, nedre skärpinge";6225519;479522;"Elfiske";"Säker"
1968;"Blekinge län";"Signalkräfta";"2009-08-26";"ÖSTRA ORLUNDSÅN";6222773;479704;"Östra orlundsån, nedre skärpinge";6225519;479522;"Elfiske";"Säker"
1969;"Blekinge län";"Signalkräfta";"2008-09-04";"ÖSTRA ORLUNDSÅN";6222773;479704;"Östra orlundsån, nedre skärpinge";6225519;479522;"Elfiske";"Säker"
1970;"Blekinge län";"Signalkräfta";"2006-08-29";"ÖSTRA ORLUNDSÅN";6222773;479704;"Östra orlundsån, nedre skärpinge";6225519;479522;"Elfiske";"Säker"
1971;"Blekinge län";"Signalkräfta";"2015-08-14";"ÖSTRA ORLUNDSÅN";6222773;479704;"Östra orlundsån, nedre skärpinge";6225519;479522;"Elfiske";"Säker"
1972;"Blekinge län";"Signalkräfta";"2008-09-04";"ÖSTRA ORLUNDSÅN";6222773;479704;"Östra orlundsån, pukavik e22";6222810;479504;"Elfiske";"Säker"
1973;"Blekinge län";"Signalkräfta";"2007-09-12";"ÖSTRA ORLUNDSÅN";6222773;479704;"Östra orlundsån, pukavik e22";6222810;479504;"Elfiske";"Säker"
1974;"Blekinge län";"Signalkräfta";"2006-08-29";"ÖSTRA ORLUNDSÅN";6222773;479704;"Östra orlundsån, pukavik e22";6222810;479504;"Elfiske";"Säker"
1975;"Blekinge län";"Signalkräfta";"2002-08-02";"ÖSTRA ORLUNDSÅN";6222773;479704;"Östra orlundsån, pukavik e22";6222810;479504;"Elfiske";"Säker"
1976;"Blekinge län";"Signalkräfta";"2014-09-11";"ÖSTRA ORLUNDSÅN";6222773;479704;"Östra orlundsån, pukavik e22";6222810;479504;"Elfiske";"Säker"
1977;"Blekinge län";"Signalkräfta";"2011-09-09";"ÖSTRA ORLUNDSÅN";6222773;479704;"Östra orlundsån, snärjeskogen";6232795;476868;"Elfiske";"Säker"
1978;"Blekinge län";"Signalkräfta";"2006-08-17";"ÖSTRA ORLUNDSÅN";6222773;479704;"Östra orlundsån, bokskogen";6233124;476784;"Elfiske";"Säker"
2111;"Blekinge län";"Signalkräfta";"2015-08-13";"BRÄKNEÅN";6225008;507648;"Bräkneån, nedstr strångamåla";6237186;506076;"Elfiske";"Säker"
2112;"Blekinge län";"Signalkräfta";"2013-08-16";"BRÄKNEÅN";6225008;507648;"Bräkneån, bygdegården";6238105;505165;"Elfiske";"Säker"
2113;"Blekinge län";"Signalkräfta";"2015-08-13";"BRÄKNEÅN";6225008;507648;"Bräkneån, bygdegården";6238105;505165;"Elfiske";"Säker"
2005;"Blekinge län";"Signalkräfta";"2009-09-11";"MIEÅN";6224808;491396;"Mieån, södra hoka";6234683;490361;"Elfiske";"Säker"
2003;"Blekinge län";"Signalkräfta";"2015-08-14";"MIEÅN";6224808;491396;"Mieån, ned ringamålavägen";6242632;492272;"Elfiske";"Säker"
5323;"Blekinge län";"Signalkräfta";"1992-01-01";"BRÄKNEÅN";6225008;507648;"Dammar björstorp 1:";6225008;507648;"Historik";"Finns troligen"
5343;"Blekinge län";"Signalkräfta";"1992-01-01";"VITAVATTEN";6234498;474569;"Viltvatten rösjö";6234498;474569;"Historik";"Finns troligen"
5365;"Blekinge län";"Signalkräfta";"2001-01-01";"BJÖRKEGÖLEN";6233996;542751;"Björkegölen";6233996;542751;"Uppskattning";"Finns troligen"
5366;"Blekinge län";"Signalkräfta";"1992-01-01";"BJÖRKEGÖLEN";6233996;542751;"Björkegölen";6233996;542751;"Uppgift saknas";"Uppgift saknas"
8455;"Blekinge län";"Signalkräfta";"1998-09-04";"ÖSTRA ORLUNDSÅN";6222773;479704;"Nedre skärpinge";6225519;479522;"Elfiske";"Säker"
8456;"Blekinge län";"Signalkräfta";"2004-08-24";"ÖSTRA ORLUNDSÅN";6222773;479704;"Nedre skärpinge";6225519;479522;"Elfiske";"Säker"
8457;"Blekinge län";"Signalkräfta";"2002-08-02";"ÖSTRA ORLUNDSÅN";6222773;479704;"Pukavik e66";6222810;479504;"Elfiske";"Säker"
8458;"Blekinge län";"Signalkräfta";"1997-08-22";"ÖSTRA ORLUNDSÅN";6222773;479704;"Bokskogen";6233124;476784;"Elfiske";"Säker"
8459;"Blekinge län";"Signalkräfta";"2001-08-02";"ÖSTRA ORLUNDSÅN";6222773;479704;"Bokskogen";6233124;476784;"Elfiske";"Säker"
8497;"Blekinge län";"Signalkräfta";"2003-07-30";"BRÄKNEÅN";6225008;507648;"Hallarna";6253639;500035;"Elfiske";"Säker"
8498;"Blekinge län";"Signalkräfta";"2004-08-19";"BRÄKNEÅN";6225008;507648;"Hallarna";6253639;500035;"Elfiske";"Säker"
8499;"Blekinge län";"Signalkräfta";"1994-07-15";"BRÄKNEÅN";6225008;507648;"Örseryd";6241917;504641;"Elfiske";"Säker"
8500;"Blekinge län";"Signalkräfta";"2004-08-10";NA;6249787;501430;"Uppstr vägen";6249774;501220;"Elfiske";"Säker"
8501;"Blekinge län";"Signalkräfta";"2002-08-01";NA;6249787;501430;"Uppstr vägen";6249774;501220;"Elfiske";"Säker"
8502;"Blekinge län";"Signalkräfta";"2000-08-22";NA;6249787;501430;"Uppstr vägen";6249774;501220;"Elfiske";"Säker"
8503;"Blekinge län";"Signalkräfta";"1998-09-10";NA;6249787;501430;"Uppstr vägen";6249774;501220;"Elfiske";"Säker"
8504;"Blekinge län";"Signalkräfta";"2005-08-12";NA;6249787;501430;"Uppstr vägen";6249774;501220;"Elfiske";"Säker"
8505;"Blekinge län";"Signalkräfta";"2001-08-10";NA;6249787;501430;"Ned kulvert";6249785;501280;"Elfiske";"Säker"
8519;"Blekinge län";"Signalkräfta";"2002-07-27";"NORJESUND";6219727;479980;"Boa";6228210;475363;"Elfiske";"Säker"
8620;"Blekinge län";"Signalkräfta";"2002-07-22";"SIGGARPSÅN";6225088;498180;"Modala kvarn";6229470;496800;"Elfiske";"Säker"
8621;"Blekinge län";"Signalkräfta";"2001-08-09";"SIGGARPSÅN";6225088;498180;"Modala kvarn";6229470;496800;"Elfiske";"Säker"
8622;"Blekinge län";"Signalkräfta";"2004-08-23";"SIGGARPSÅN";6225088;498180;"Modala kvarn";6229470;496800;"Elfiske";"Säker"
8623;"Blekinge län";"Signalkräfta";"2001-08-08";"KLOCKAREBÄCKEN";6227908;496598;"Upp modala kvarn";6229472;496949;"Elfiske";"Säker"
8800;"Blekinge län";"Signalkräfta";"2002-08-29";"LYCKEBYÅN";6227280;540300;"Stubbelycke/viökvarn";6240630;541544;"Elfiske";"Säker"
8801;"Blekinge län";"Signalkräfta";"2001-08-30";"LYCKEBYÅN";6227280;540300;"Stubbelycke/viökvarn";6240630;541544;"Elfiske";"Säker"
8802;"Blekinge län";"Signalkräfta";"2005-09-08";"LYCKEBYÅN";6227280;540300;"Stubbelycke/viökvarn";6240630;541544;"Elfiske";"Säker"
8760;"Blekinge län";"Signalkräfta";"2002-07-23";"SNÖVLEBODAÅN";6237087;471180;"Björkedal-emmedal";6248766;472353;"Elfiske";"Säker"
8761;"Blekinge län";"Signalkräfta";"2001-07-31";"SNÖVLEBODAÅN";6237087;471180;"Emmedal-björkefall";6249538;472574;"Elfiske";"Säker"
14654;"Blekinge län";"Signalkräfta";"2019-09-06";"ÖSTRA ORLUNDSÅN";6222773;479704;"Nedre skärpinge";6225519;479522;"Elfiske";"Säker"
14656;"Blekinge län";"Signalkräfta";"2019-09-19";"MÖRRUMSÅN";6223296;484277;"Pool 1 laxodlingen";6227466;484447;"Elfiske";"Säker"
14664;"Blekinge län";"Signalkräfta";"2019-08-27";"NÄTTRABYÅN";6227334;533812;"Spångarna övre";6236815;530851;"Elfiske";"Säker"
14665;"Blekinge län";"Signalkräfta";"2019-08-30";"NÄTTRABYÅN";6227334;533812;"Måstad";6242187;526860;"Elfiske";"Säker"
14666;"Blekinge län";"Signalkräfta";"2019-08-27";"NÄTTRABYÅN";6227334;533812;"Notarna";6231921;532028;"Elfiske";"Säker"
14668;"Blekinge län";"Signalkräfta";"2019-08-28";"SILLETORPSÅN";6229770;537022;"Bubbetorp järnvägen";6231954;539125;"Elfiske";"Säker"
12401;"Dalarnas län";"Signalkräfta";"1990-01-01";"GRYCKEN";6700293;566657;"Grycken";6700293;566657;"Fångstdata";"Säker"
12402;"Dalarnas län";"Signalkräfta";"1969-01-01";"GRYCKEN";6700293;566657;"Grycken";6700293;566657;"Utsättning";"Säker"
12403;"Dalarnas län";"Signalkräfta";"2009-01-01";"GRYCKEN";6700293;566657;"Grycken";6700293;566657;"Fångstdata";"Säker"
2605;"Dalarnas län";"Signalkräfta";"2014-08-21";NA;6666284;523346;"Flatenbergsån, flatenbergs hytta";6666145;523265;"Elfiske";"Säker"
2641;"Dalarnas län";"Signalkräfta";"2014-08-16";"LÄDSÅN";6768208;467077;"Lädsån, sidofåran";6768808;465470;"Elfiske";"Säker"
17854;"Dalarnas län";"Signalkräfta";"2022-09-20";"DALÄLVEN";6725625;633370;"Österdalälven";6767651;467601;"Elfiske";"Säker"
17849;"Dalarnas län";"Signalkräfta";"2022-08-24";"BJURFORSBÄCKEN";6668671;564914;"Bjurforsbäcken";6667819;563135;"Elfiske";"Säker"
17850;"Dalarnas län";"Signalkräfta";"2023-10-05";"BJURFORSBÄCKEN";6668671;564914;"Bjurforsbäcken";6667819;563135;"Elfiske";"Säker"
15031;"Dalarnas län";"Signalkräfta";"2020-08-04";"GAVLEÅN";6729209;619100;"Gavelån";6728901;615611;"Fångstdata";"Säker"
9126;"Dalarnas län";"Signalkräfta";"2007-08-01";"BUSJÖN";6707467;444732;"Busjön, vansbro";6707467;444732;"Fångstdata";"Säker"
9129;"Dalarnas län";"Signalkräfta";"2006-11-13";"0-VATTEN";9999999;999999;"Gessån";6686351;542385;"Fångstdata";"Säker"
9130;"Dalarnas län";"Signalkräfta";"2006-11-13";"DALKARLEN";6687303;541804;"Dalkarlen";6687303;541804;"Fångstdata";"Säker"
8984;"Dalarnas län";"Signalkräfta";"1994-09-30";"LÅNGSHYTTEÅN";6697809;553142;"Timmerrännan";6705930;564849;"Elfiske";"Säker"
8985;"Dalarnas län";"Signalkräfta";"1995-10-06";"LÅNGSHYTTEÅN";6697809;553142;"Timmerrännan";6705930;564849;"Elfiske";"Säker"
8986;"Dalarnas län";"Signalkräfta";"1995-10-05";"LÅNGSHYTTEÅN";6697809;553142;"Långshytteån";6705993;566738;"Elfiske";"Säker"
8987;"Dalarnas län";"Signalkräfta";"1995-10-05";"LÅNGSHYTTEÅN";6697809;553142;"Långshytteån";6705993;566738;"Elfiske";"Säker"
8999;"Dalarnas län";"Signalkräfta";"2002-08-13";"FINNBOBÄCKEN";6669449;525447;"Vilthägn/burkens";6672888;524605;"Elfiske";"Säker"
8958;"Dalarnas län";"Signalkräfta";"1994-07-25";"ROGSÅN";6725313;533821;"Rogsån";6730714;532395;"Elfiske";"Säker"
8959;"Dalarnas län";"Signalkräfta";"1994-07-25";"ROGSÅN";6725313;533821;"Rogsån";6730714;532395;"Elfiske";"Säker"
8960;"Dalarnas län";"Signalkräfta";"1994-07-25";"ROGSÅN";6725313;533821;"Rogsån";6730912;532192;"Elfiske";"Säker"
8961;"Dalarnas län";"Signalkräfta";"1994-07-25";"ROGSÅN";6725313;533821;"Rogsån";6730912;532192;"Elfiske";"Säker"
8962;"Dalarnas län";"Signalkräfta";"1994-07-25";"ROGSÅN";6725313;533821;"Rogsån";6730813;532343;"Elfiske";"Säker"
8963;"Dalarnas län";"Signalkräfta";"1994-07-25";"ROGSÅN";6725313;533821;"Rogsån";6730813;532343;"Elfiske";"Säker"
9042;"Dalarnas län";"Signalkräfta";"2007-10-12";"0-VATTEN";9999999;999999;"Gråda kv. (österdalälven)";6718641;500813;"Fångstdata";"Säker"
9043;"Dalarnas län";"Signalkräfta";"2007-01-01";"0-VATTEN";9999999;999999;"Grängshammarsån";6696213;528159;"Observation";"Säker"
9044;"Dalarnas län";"Signalkräfta";"2006-08-17";"0-VATTEN";9999999;999999;"Orskaven (orekalven)";6775811;512227;"Fångstdata";"Säker"
9045;"Dalarnas län";"Signalkräfta";"2006-07-15";"0-VATTEN";9999999;999999;"Slogmyrloken";6731234;528300;"Fångstdata";"Säker"
9046;"Dalarnas län";"Signalkräfta";"2006-01-01";"0-VATTEN";9999999;999999;"Lurån";6734425;534968;"Kräftprovfiske";"Finns troligen"
9047;"Dalarnas län";"Signalkräfta";"2004-01-01";"0-VATTEN";9999999;999999;"Mellan-valsan";6717218;520104;"Fångstdata";"Finns troligen"
9048;"Dalarnas län";"Signalkräfta";"2007-01-01";"DALÄLVEN";6725625;633370;"Dalälven uppstr domnarvet";6725625;633370;"Observation";"Säker"
9049;"Dalarnas län";"Signalkräfta";"2007-01-01";"DALÄLVEN";6725625;633370;"Dalälven";6725625;633370;"Observation";"Finns troligen"
9050;"Dalarnas län";"Signalkräfta";"2007-01-01";"LOGÄRDEN";6721847;556846;"Logärden";6721847;556846;"Fångstdata";"Finns troligen"
9051;"Dalarnas län";"Signalkräfta";"2008-10-01";"SILJAN";6732565;499903;"Vid vackernäs";6742215;496116;"Fångstdata";"Säker"
9052;"Dalarnas län";"Signalkräfta";"2006-08-01";"VÄSTERDALÄLVEN";6712722;507254;"Västerdalälven";6706842;488363;"Fångstdata";"Säker"
9053;"Dalarnas län";"Signalkräfta";"2008-01-01";"HYTTSJÖN";6735442;514443;"Hyttsjön";6735442;514443;"Fångstdata";"Säker"
9054;"Dalarnas län";"Signalkräfta";"2007-09-10";"NEDRE VALSAN";6715223;521308;"Nedre valsan";6715223;521308;"Fångstdata";"Säker"
9055;"Dalarnas län";"Signalkräfta";"2007-07-30";"BUSJÖN";6707467;444732;"Busjön";6707467;444732;"Fångstdata";"Säker"
9056;"Dalarnas län";"Signalkräfta";"2007-07-01";"ÖVRE GRUCKÅTJÄRNEN";6706186;453524;"Övre gruckåtjärnen";6706186;453524;"Observation";"Finns troligen"
9057;"Dalarnas län";"Signalkräfta";"2007-07-01";"STORA UTTERTJÄRNEN";6689853;454394;"Stora uttertjärnen";6689853;454394;"Observation";"Finns troligen"
9058;"Dalarnas län";"Signalkräfta";"2007-07-01";"NEDRE GRUCKÅTJÄRNEN";6705955;454287;"Nedre gruckåtjärnen";6705955;454287;"Observation";"Finns troligen"
14662;"Blekinge län";"Signalkräfta";"2019-08-28";"LISTERBYÅN";6226282;525077;"Djurtorp nedre";6229842;525255;"Elfiske";"Säker"
17778;"Blekinge län";"Signalkräfta";"2023-09-08";"BRÄKNEÅN";6225008;507648;"Bräkneån, evaryd nedre";6231058;506228;"Elfiske";"Säker"
17779;"Blekinge län";"Signalkräfta";"2022-08-31";"BRÄKNEÅN";6225008;507648;"Bräkneån";6227951;506263;"Elfiske";"Säker"
17780;"Blekinge län";"Signalkräfta";"2023-08-16";"BRÄKNEÅN";6225008;507648;"Bräkneån";6227951;506263;"Elfiske";"Säker"
17781;"Blekinge län";"Signalkräfta";"2023-08-17";"BRÄKNEÅN";6225008;507648;"Bräkneån";6227968;506257;"Elfiske";"Säker"
17782;"Blekinge län";"Signalkräfta";"2022-09-27";"BRÄKNEÅN";6225008;507648;"Bräkneån";6231058;506228;"Elfiske";"Säker"
17783;"Blekinge län";"Signalkräfta";"2022-09-27";"BRÄKNEÅN";6225008;507648;"Bräkneån";6236957;506330;"Elfiske";"Säker"
17784;"Blekinge län";"Signalkräfta";"2022-09-02";"BRÄKNEÅN";6225008;507648;"Bräkneån";6236292;506626;"Elfiske";"Säker"
17785;"Blekinge län";"Signalkräfta";"2022-09-07";"BRÄKNEÅN";6225008;507648;"Bräkneån";6242504;504773;"Elfiske";"Säker"
17786;"Blekinge län";"Signalkräfta";"2022-09-20";"BRÄKNEÅN";6225008;507648;"Bräkneån";6252095;500553;"Elfiske";"Säker"
17787;"Blekinge län";"Signalkräfta";"2022-09-20";"BRÄKNEÅN";6225008;507648;"Bräkneån";6253638;500035;"Elfiske";"Säker"
17788;"Blekinge län";"Signalkräfta";"2022-09-07";"BRÄKNEÅN";6225008;507648;"Bräkneån";6237185;506075;"Elfiske";"Säker"
17789;"Blekinge län";"Signalkräfta";"2022-09-07";"BRÄKNEÅN";6225008;507648;"Bräkneån";6238104;505165;"Elfiske";"Säker"
4;"Blekinge län";"Signalkräfta";"2016-11-15";"ÖSTERSJÖN (HAV)";6586990;694442;"Bröms";6242277;565053;"Fångstdata";"Säker"
9;"Blekinge län";"Signalkräfta";"2006-08-20";"BLANKSJÖN";6229727;511071;"Blanksjön";6229727;511071;"Fångstdata";"Säker"
129;"Blekinge län";"Signalkräfta";"2011-06-13";"NÄTTRABYÅN";6227334;533812;"Nättrabyån, spångarna nedre";6236747;530932;"Elfiske";"Säker"
130;"Blekinge län";"Signalkräfta";"2016-09-20";"NÄTTRABYÅN";6227334;533812;"Nättrabyån, spångarna nedre";6236747;530932;"Elfiske";"Säker"
131;"Blekinge län";"Signalkräfta";"2011-06-13";"NÄTTRABYÅN";6227334;533812;"Nättrabyån, upp bron kumlehallar";6233478;531810;"Elfiske";"Säker"
132;"Blekinge län";"Signalkräfta";"2016-09-20";"NÄTTRABYÅN";6227334;533812;"Nättrabyån, upp bron kumlehallar";6233478;531810;"Elfiske";"Säker"
133;"Blekinge län";"Signalkräfta";"2013-08-08";"NÄTTRABYÅN";6227334;533812;"Nättrabyån, notarna";6231921;532029;"Elfiske";"Säker"
134;"Blekinge län";"Signalkräfta";"2012-08-23";"NÄTTRABYÅN";6227334;533812;"Nättrabyån, notarna";6231921;532029;"Elfiske";"Säker"
135;"Blekinge län";"Signalkräfta";"2011-08-12";"NÄTTRABYÅN";6227334;533812;"Nättrabyån, notarna";6231921;532029;"Elfiske";"Säker"
136;"Blekinge län";"Signalkräfta";"2015-09-11";"NÄTTRABYÅN";6227334;533812;"Nättrabyån, notarna";6231921;532029;"Elfiske";"Säker"
137;"Blekinge län";"Signalkräfta";"2009-08-27";"NÄTTRABYÅN";6227334;533812;"Nättrabyån, måstad";6242187;526860;"Elfiske";"Säker"
138;"Blekinge län";"Signalkräfta";"2006-08-30";"NÄTTRABYÅN";6227334;533812;"Nättrabyån, måstad";6242187;526860;"Elfiske";"Säker"
139;"Blekinge län";"Signalkräfta";"2013-08-09";"NÄTTRABYÅN";6227334;533812;"Nättrabyån, måstad";6242187;526860;"Elfiske";"Säker"
140;"Blekinge län";"Signalkräfta";"2013-08-08";"NÄTTRABYÅN";6227334;533812;"Nättrabyån, spångarna övre";6236816;530852;"Elfiske";"Säker"
3033;"Blekinge län";"Signalkräfta";"2009-09-04";"LYCKEBYÅN";6227280;540300;"Lyckebyån, stubbelycke/viökvarn";6240630;541544;"Elfiske";"Säker"
3034;"Blekinge län";"Signalkräfta";"2007-09-08";"LYCKEBYÅN";6227280;540300;"Lyckebyån, stubbelycke/viökvarn";6240630;541544;"Elfiske";"Säker"
3035;"Blekinge län";"Signalkräfta";"2010-09-14";"LYCKEBYÅN";6227280;540300;"Lyckebyån, stubbelycke/viökvarn";6240630;541544;"Elfiske";"Säker"
3110;"Blekinge län";"Signalkräfta";"2009-09-01";"VILSHULTSÅN";6237153;470830;"Vilshultsån, möllelycke forsen";6248417;467289;"Elfiske";"Säker"
3111;"Blekinge län";"Signalkräfta";"2009-09-01";"VILSHULTSÅN";6237153;470830;"Vilshultsån, möllelycke nedre";6247689;467458;"Elfiske";"Säker"
3112;"Blekinge län";"Signalkräfta";"2008-09-03";"VILSHULTSÅN";6237153;470830;"Vilshultsån, flyborgstorpet";6242481;469128;"Elfiske";"Säker"
3113;"Blekinge län";"Signalkräfta";"2009-08-31";"SÖRBYBÄCKEN";6229837;517068;"Sörbybäcken, träbron sörby";6231036;516144;"Elfiske";"Säker"
3193;"Blekinge län";"Signalkräfta";"2004-08-10";"LILLÅN";6249261;501776;"Lillån, bälganet";6250052;501917;"Elfiske";"Säker"
3194;"Blekinge län";"Signalkräfta";"2005-08-12";"LILLÅN";6249261;501776;"Lillån, bälganet";6250052;501917;"Elfiske";"Säker"
6254;"Blekinge län";"Signalkräfta";"2001-01-01";"ÄLLSJÖN";6243327;509763;"Ällsjön";6243327;509763;"Uppskattning";"Säker"
6255;"Blekinge län";"Signalkräfta";"2001-01-01";"ÄLLHÖLEN";6240788;488430;"Ällhölen";6240788;488430;"Uppskattning";"Säker"
6301;"Blekinge län";"Signalkräfta";"2001-01-01";"VÅNGAGYLET";6240550;464752;"Vid st kroksjön";6240550;464752;"Fångstdata";"Säker"
6302;"Blekinge län";"Signalkräfta";"2001-01-01";"VÅNGAGYLET";6244577;463746;"Vid harasjömåla";6244577;463746;"Fångstdata";"Säker"
6307;"Blekinge län";"Signalkräfta";"2001-01-01";"VITAVATTEN";6234498;474569;"Viltvatten rösjö";6234498;474569;"Uppskattning";"Finns troligen"
6308;"Blekinge län";"Signalkräfta";"1992-01-01";"VITAVATTEN";6234498;474569;"Vitavatten";6234498;474569;"Uppgift saknas";"Uppgift saknas"
6413;"Blekinge län";"Signalkräfta";"2001-01-01";"SÖDRA SILLSJÖN";6238464;537590;"Södra sillsjön";6238464;537590;"Fångstdata";"Säker"
6433;"Blekinge län";"Signalkräfta";"1992-01-01";"SUNDSJÖGYL";6242759;495394;"Sundsjögyl";6242759;495394;"Uppgift saknas";"Uppgift saknas"
6434;"Blekinge län";"Signalkräfta";"2001-01-01";"SUNDSJÖGYL";6242759;495394;"Sundsjögyl";6242759;495394;"Uppskattning";"Finns troligen"
6417;"Blekinge län";"Signalkräfta";"2001-01-01";"SÖDRA BÄCKASJÖN";6241994;465115;"Södra bäckasjön";6241994;465115;"Fångstdata";"Säker"
6475;"Blekinge län";"Signalkräfta";"2001-01-01";"STORA ALLJUNGEN";6247462;530807;"Stora alljungen";6247462;530807;"Uppskattning";"Finns troligen"
6509;"Blekinge län";"Signalkräfta";"2001-01-01";"SLAGESNÄSSJÖN";6245717;471459;"Slagesnässjön";6245717;471459;"Uppskattning";"Säker"
6510;"Blekinge län";"Signalkräfta";"1992-01-01";"SLAGESNÄSSJÖN";6245717;471459;"Slagenässjön";6245717;471459;"Uppgift saknas";"Uppgift saknas"
6517;"Blekinge län";"Signalkräfta";"1992-01-01";"SKÄRSJÖN";6230540;518219;"Skärsjön";6230540;518219;"Uppgift saknas";"Uppgift saknas"
6518;"Blekinge län";"Signalkräfta";"2001-01-01";"SKÄRSJÖN";6230540;518219;"Skärsjön";6230540;518219;"Uppskattning";"Finns troligen"
6718;"Blekinge län";"Signalkräfta";"2001-01-01";"MELLANBÄCKASJÖN";6242763;465036;"Mellanbäckasjön";6242763;465036;"Fångstdata";"Säker"
6803;"Blekinge län";"Signalkräfta";"1992-01-01";"LILLA SUNDSJÖN";6243347;496137;"Lilla sundsjön";6243347;496137;"Uppgift saknas";"Uppgift saknas"
6804;"Blekinge län";"Signalkräfta";"2001-01-01";"LILLA SUNDSJÖN";6243347;496137;"Lilla sundsjön";6243347;496137;"Uppskattning";"Finns troligen"
6814;"Blekinge län";"Signalkräfta";"1992-01-01";"LILLA FALLSJÖN";6252466;471600;"Lilla fallsjön";6252466;471600;"Uppgift saknas";"Uppgift saknas"
6815;"Blekinge län";"Signalkräfta";"2001-01-01";"LILLA FALLSJÖN";6252466;471600;"Lilla fallsjön";6252466;471600;"Uppskattning";"Finns troligen"
7005;"Blekinge län";"Signalkräfta";"2001-01-01";"HALLAGYLET";6239235;465078;"Hallagylet";6239235;465078;"Fångstdata";"Säker"
7006;"Blekinge län";"Signalkräfta";"1992-01-01";"HALEN";6237037;469452;"Halen";6237037;469452;"Uppgift saknas";"Uppgift saknas"
7007;"Blekinge län";"Signalkräfta";"2001-01-01";"HALEN";6237037;469452;"Halen";6237037;469452;"Uppskattning";"Finns troligen"
7019;"Blekinge län";"Signalkräfta";"1992-01-01";"GÄDDEGYLET";6241397;496930;"Gäddgölen";6241397;496930;"Uppgift saknas";"Uppgift saknas"
7020;"Blekinge län";"Signalkräfta";"2001-01-01";"GÄDDEGYLET";6241397;496930;"Gäddgölen";6241397;496930;"Uppskattning";"Finns troligen"
7074;"Blekinge län";"Signalkräfta";"1992-01-01";"GATEGÖLEN";6259248;533378;"Gategölen";6259248;533378;"Uppgift saknas";"Uppgift saknas"
7075;"Blekinge län";"Signalkräfta";"2001-01-01";"GATEGÖLEN";6259248;533378;"Gategölen";6259248;533378;"Uppskattning";"Finns troligen"
13241;"Blekinge län";"Signalkräfta";"2013-09-03";"LJUNGSJÖN";6250368;466587;"Ljungsjön";6250368;466587;"Enkät";"Finns troligen"
13242;"Blekinge län";"Signalkräfta";"2013-09-03";"LILLA BLANKEN";6251960;523127;"Lilla blanken";6251960;523127;"Enkät";"Finns troligen"
13243;"Blekinge län";"Signalkräfta";"2013-09-03";"RÅLÅNGEN";6257218;512879;"Rålången";6257218;512879;"Enkät";"Finns troligen"
13244;"Blekinge län";"Signalkräfta";"2013-09-03";"BJÖRKSJÖN";6244528;475811;"Björksjön";6244528;475811;"Enkät";"Finns troligen"
13245;"Blekinge län";"Signalkräfta";"2013-09-03";"ULVASJÖN";6257788;530766;"Ulvasjön";6257788;530766;"Enkät";"Säker"
13246;"Blekinge län";"Signalkräfta";"2013-09-03";"LÅNGASJÖN";6228213;514128;"Långasjön";6228213;514128;"Enkät";"Saknas troligen"
13247;"Blekinge län";"Signalkräfta";"2013-09-03";"LJUSTERHÖVDEN";6251588;521242;"Ljusterhövden";6251588;521242;"Enkät";"Säker"
13248;"Blekinge län";"Signalkräfta";"2013-09-09";"MIEÅN";6224808;491396;"Loberget";6245491;491434;"Fångstdata";"Saknas troligen"
13249;"Blekinge län";"Signalkräfta";"2013-09-03";"MÅLLEBÄCKEN";6241581;516931;"Bäck mellan dammen och kvarnagölen";6250994;518270;"Fångstdata";"Säker"
13250;"Blekinge län";"Signalkräfta";"2013-11-04";"MÅLLEBÄCKEN";6241581;516931;"Bäck m. dammen och kvarnag.";6251580;517943;"Fångstdata";"Säker"
13251;"Blekinge län";"Signalkräfta";"2013-09-03";"BREDASJÖN";6253963;532800;"Bredasjön";6253963;532800;"Fångstdata";"Säker"
13252;"Blekinge län";"Signalkräfta";"2013-09-03";"NORRSJÖN";6227131;499376;"Norrsjön";6227131;499376;"Fångstdata";"Säker"
13253;"Blekinge län";"Signalkräfta";"2013-09-03";"MÖLLESJÖN";6248765;467135;"Möllesjön";6248765;467135;"Fångstdata";"Säker"
13254;"Blekinge län";"Signalkräfta";"2013-09-03";"BLANKSJÖN";6229727;511071;"Blanksjön";6229727;511071;"Fångstdata";"Säker"
13255;"Blekinge län";"Signalkräfta";"2013-09-03";"HJORTSJÖN";6247000;518706;"Hjortsjön";6247000;518706;"Fångstdata";"Säker"
13256;"Blekinge län";"Signalkräfta";"2013-09-03";"LISTERBYÅN";6226282;525077;"Listerbyån";6229070;524867;"Fångstdata";"Saknas troligen"
13257;"Blekinge län";"Signalkräfta";"2013-09-03";"LISTERBYÅN";6226282;525077;"Ned fisktrappa liste";6227468;524783;"Observation";"Saknas troligen"
13258;"Blekinge län";"Signalkräfta";"2013-09-03";"HALASJÖN";6238223;500726;"Halasjön";6238223;500726;"Fångstdata";"Finns troligen"
13259;"Blekinge län";"Signalkräfta";"2013-11-04";"ÖSTRA STORA GALLSJÖN";6238171;480974;"Östra stora gallsjön";6238171;480974;"Fångstdata";"Säker"
