"Nummer";"Län (lokal)";"Art";"Datum";"Vatten";"Sweref99 N (Vatten)";"Sweref99 E (Vatten)";"Lokal";"sweref99N";"sweref99E";"Metodik";"Förekomst"
3445;"Värmlands län";"Signalkräfta";"2012-09-05";"ACKSJÖÄLVEN";6665253;420019;"Acksjön/älven";6666702;422060;"Kräftprovfiske";"Säker"
3446;"Värmlands län";"Signalkräfta";"2011-09-30";"ÅSJÖN";6596386;463059;"Åsjön";6597578;463694;"Fångstdata";"Säker"
3447;"Värmlands län";"Signalkräfta";"2003-09-19";"VÄNERN";6472574;346218;"Hammarö";6569806;415352;"Observation";"Finns troligen"
3448;"Värmlands län";"Signalkräfta";"2003-09-19";"VÄNERN";6472574;346218;"Borgvikssjön";6579846;386544;"Observation";"Finns troligen"
3449;"Värmlands län";"Signalkräfta";"2003-09-19";"VÄNERN";6472574;346218;"Grumsfjorden";6579211;388936;"Observation";"Finns troligen"
3450;"Värmlands län";"Signalkräfta";"2011-07-29";"GRANÅN";6648613;382480;"Bäck (grässjön - granån)";6651650;381228;"Fångstdata";"Säker"
3451;"Värmlands län";"Signalkräfta";"2011-03-15";"MYRSJÖN";6570728;362416;"Myrsjön";6570700;361367;"Utsättning";"Säker"
3452;"Värmlands län";"Signalkräfta";"2010-08-21";"NORRA APLUNGEN";6628429;387083;"Norra aplungen";6628429;387083;"Utsättning";"Säker"
3453;"Värmlands län";"Signalkräfta";"2010-07-15";"SÖDRA HYN";6593458;408708;"Södra hyn";6597096;409059;"Fångstdata";"Säker"
3455;"Värmlands län";"Signalkräfta";"2009-09-21";"TÅNGÅN";6602964;416149;"Tångån utlopp blysjön";6602831;417570;"Elfiske";"Säker"
3456;"Värmlands län";"Signalkräfta";"2009-09-17";"TÖCK";6601128;320900;"Töck";6601128;320900;"Utsättning";"Säker"
3457;"Värmlands län";"Signalkräfta";"2009-09-17";"FOXEN";6579554;323690;"Foxen";6579554;323690;"Utsättning";"Säker"
3458;"Värmlands län";"Signalkräfta";"2009-08-11";"ULLEN";6616318;369269;"Ullen (nära racken)";6655592;395813;"Observation";"Säker"
3459;"Värmlands län";"Signalkräfta";"2009-01-01";"BJURSJÖN";6640989;462277;"Bjursjön";6639094;462793;"Observation";"Finns troligen"
