Year;County;River;Site;WGS84 dec. Lat;WGS84 dec. Long;Month obs.;Length (cm);Weight (kg);Sex;Type of observation;Comments
2017;Västra Götaland;Göta Älv;Lilla Edet;58,134664;12,120634;July / August;n/a;n/a;n/a;Caught;n/a
2017;Västra Götaland;Göta Älv;Lilla Edet;58,134664;12,120634;July / August;n/a;n/a;n/a;Caught;n/a
2017;Västra Götaland;Göta Älv;Lilla Edet;58,134664;12,120634;July / August;n/a;n/a;n/a;Caught;n/a
2017;Västra Götaland;Göta Älv;Lilla Edet;58,134664;12,120634;July / August;n/a;n/a;n/a;Caught;n/a
2017;Västra Götaland;Göta Älv;Lilla Edet;58,134664;12,120634;July / August;n/a;n/a;n/a;Caught;n/a
2017;Västra Götaland;Göta Älv;Lilla Edet;58,134664;12,120634;July / August;n/a;n/a;n/a;Caught;n/a
2017;Västra Götaland;Göta Älv;Lilla Edet;58,134664;12,120634;July / August;n/a;n/a;n/a;Caught;n/a
2017;Halland;Ätran;Nydala;57,067636;12,655216;August;n/a;n/a;Male;Caught;First pink salmon caught at Nydala (index river)
2017;Halland;Ätran;Vessingebo;56,9815765;12,6510909;July;n/a;n/a;n/a;Dead;found dead - first pink salmon reported on the westcoast according to Artportalen
2021;Västra Götaland;Göta Älv;Trollhätten;58,2786244;12,2771941;August;n/a;n/a;n/a;Caught;n/a
2021;Västra Götaland;Göta Älv;Trollhätten;58,2786244;12,2771941;August;n/a;n/a;n/a;Caught;n/a
2021;Västra Götaland;Göta Älv;Trollhätten;58,2786244;12,2771941;August;n/a;n/a;n/a;Caught;n/a
2021;Västra Götaland;Göta Älv;Trollhätten;58,2786244;12,2771941;August;n/a;n/a;n/a;Caught;n/a
2017;Västra Götaland;Coastal;Ljungskileviken;58,2188061;11,9009348;July;50;n/a;n/a;Caught;n/a
2017;Halland;Fylleån;n/a;n/a;n/a;September;n/a;n/a;n/a;Caught;En död utlekt hona påträffades samma år i Fylleån den 6 september
