Repr_Calle;species;longitude;latitude
1;Margaritifera1;19.0057858100;63.3124566715
1;Margaritifera1;16.6445308200;63.8352677360
1;Margaritifera1;14.6822501500;59.1536903882
1;Margaritifera1;14.7129296700;57.5198504761
1;Margaritifera1;14.9247646800;59.3221327784
1;Margaritifera1;16.7972657500;61.5170661272
1;Margaritifera1;15.1425091300;62.3356146603
1;Margaritifera1;14.9227117700;61.9558749293
1;Margaritifera1;15.8788025300;61.3099102366
1;Margaritifera1;16.6773078600;61.4578482637
1;Margaritifera1;16.2026590900;62.1250950387
1;Margaritifera1;20.8211539900;65.0938215894
1;Margaritifera1;17.4722923600;65.7445089033
1;Margaritifera1;15.8414002300;65.0173310287
1;Margaritifera1;20.5771488200;65.6680319310
1;Margaritifera1;15.6077007400;57.4374537514
1;Margaritifera1;12.7900160100;56.8761638802
1;Margaritifera1;12.1031277800;58.1840745225
1;Margaritifera1;12.9163524700;59.8525692166
1;Margaritifera1;12.8840968800;59.9055632917
1;Margaritifera1;12.7730213800;61.6730023420
1;Margaritifera1;16.1052217800;62.2482138209
1;Margaritifera1;16.7636012700;63.6231749433
1;Margaritifera1;18.8101223600;63.8775453754
1;Margaritifera1;12.8288991500;57.6493179903
1;Margaritifera1;12.2119338700;58.9561137815
1;Margaritifera1;15.4196183300;60.5537316280
1;Margaritifera1;15.8089359100;62.7520574007
1;Margaritifera1;15.3714969600;57.7297798243
1;Margaritifera1;11.9112492000;58.2163490666
1;Margaritifera1;14.9447230800;60.6023331244
1;Margaritifera1;19.1163361700;63.3424261592
1;Margaritifera1;15.0007055000;61.9608427163
1;Margaritifera1;13.7846677900;60.8424343105
1;Margaritifera1;18.3580058200;63.2168924722
1;Margaritifera1;14.5747044400;59.5588509774
1;Margaritifera1;20.3559880500;64.7412120602
1;Margaritifera1;14.5245720200;59.4726673524
1;Margaritifera1;17.7098710400;62.6140382148
1;Margaritifera1;19.9978305600;66.4268691048
1;Margaritifera1;14.7745286000;60.5733784237
1;Margaritifera1;19.7559458500;63.8405468356
1;Margaritifera1;15.0024172100;60.4478506661
1;Margaritifera1;14.6638091600;61.7601144767
1;Margaritifera1;17.1010131200;62.5755251705
1;Margaritifera1;20.3668369000;64.1504941826
1;Margaritifera1;22.2237627700;66.2577035671
1;Margaritifera1;15.6472776300;61.4878198011
1;Margaritifera1;15.2586133500;61.9446665699
1;Margaritifera1;17.6388688500;62.9465550600
1;Margaritifera1;15.9463024600;59.6524548083
1;Margaritifera1;20.8991281800;67.2224086392
1;Margaritifera1;17.2795739300;65.3716577006
1;Margaritifera1;20.2960901100;67.2965761685
1;Margaritifera1;19.7987420500;66.0709146769
1;Margaritifera1;16.9913593000;62.3277526995
1;Margaritifera1;17.3611479800;63.1995819041
1;Margaritifera1;12.5391036500;57.5122629600
1;Margaritifera1;12.3442978400;58.0095548588
1;Margaritifera1;16.4447056100;61.5957509443
1;Margaritifera1;13.6470876400;57.8210094657
1;Margaritifera1;12.8860498000;57.2979335128
1;Margaritifera1;17.0414198700;61.5469031233
1;Margaritifera1;15.8638693400;64.9462765489
1;Margaritifera1;16.1132960200;61.0298633971
1;Margaritifera1;15.8311213200;62.0973926481
1;Margaritifera1;21.3456544500;66.2921170156
1;Margaritifera1;20.3316199000;66.5802190061
1;Margaritifera1;14.5977184000;59.3275953995
1;Margaritifera1;16.8533017700;63.6758381791
1;Margaritifera1;20.4853761700;65.4658463159
1;Margaritifera1;21.9979915600;66.0772161399
1;Margaritifera1;20.3056478000;67.2805509475
1;Margaritifera1;16.2251778200;61.9556593394
1;Margaritifera1;17.2722432500;62.1225838814
1;Margaritifera1;14.5204064500;60.3208614596
1;Margaritifera1;16.0818356000;62.2590629003
1;Margaritifera1;18.9097347200;63.7289082908
1;Margaritifera1;14.2929765200;60.9970397990
1;Margaritifera1;15.8514127200;61.5425218706
1;Margaritifera1;15.7868236400;61.7546438326
1;Margaritifera1;12.6749028200;61.7377947563
1;Margaritifera1;16.8647606900;62.5090112120
1;Margaritifera1;16.8034583300;62.7879192168
1;Margaritifera1;12.7782381400;56.9794414025
1;Margaritifera1;15.8754053600;61.6469871561
1;Margaritifera1;16.2663085400;65.4505938643
1;Margaritifera1;20.7589392700;65.9199246247
1;Margaritifera1;12.6524910700;59.4476734368
1;Margaritifera1;17.0869628400;62.4191985190
1;Margaritifera1;17.2207751900;65.9144524633
1;Margaritifera1;19.8670138100;66.0482224215
1;Margaritifera1;14.9082230300;59.6700059015
1;Margaritifera1;14.8425997700;64.2424596130
1;Margaritifera1;15.9117311100;60.7401166025
1;Margaritifera1;17.8306761200;63.5015606309
1;Margaritifera1;20.6092020500;66.3261214634
1;Margaritifera1;14.8236506400;62.2266582204
1;Margaritifera1;20.3794735000;64.7320269292
1;Margaritifera1;16.9969046900;65.3945185342
1;Margaritifera1;20.9248290100;65.6732272963
1;Margaritifera1;15.6925604500;57.5240620751
1;Margaritifera1;15.5165740100;56.2309931937
1;Margaritifera1;16.0407133200;64.9312111544
1;Margaritifera1;16.6341614700;61.0394502853
1;Margaritifera1;21.1435763900;65.5422316124
1;Margaritifera1;16.8615973000;62.5196392155
1;Margaritifera1;16.7363693100;63.9283501763
1;Margaritifera1;14.6818347500;62.5179336908
1;Margaritifera1;12.6567769100;59.3114582226
1;Margaritifera1;14.6184724000;61.7773125527
1;Margaritifera1;14.7295227300;62.3372289488
1;Margaritifera1;16.8407825600;62.5781048650
1;Margaritifera1;17.7114343400;62.5089407579
1;Margaritifera1;12.4499705100;57.6042841975
1;Margaritifera1;16.4901835000;60.7380081802
1;Margaritifera1;15.3045778000;62.0476426349
1;Margaritifera1;14.9016712000;62.0544513192
1;Margaritifera1;14.5894261100;62.3606641698
1;Margaritifera1;20.3408007000;65.8333795334
1;Margaritifera1;21.3314706800;67.3516326184
1;Margaritifera1;13.8685472200;57.6810645062
1;Margaritifera1;15.9848941900;62.6131279107
1;Margaritifera1;19.6627752300;63.6052417465
1;Margaritifera1;15.6144612100;56.2223606554
1;Margaritifera1;14.0292535200;61.2162426600
1;Margaritifera1;16.1966462200;61.1920436274
1;Margaritifera1;15.1039513700;56.1803211390
1;Margaritifera1;12.8928983800;60.3851702267
1;Margaritifera1;16.0776881200;60.6473076072
1;Margaritifera1;17.8778343200;62.7075683240
1;Margaritifera1;20.8711612600;67.4412297090
1;Margaritifera1;12.6464156500;57.0893529953
1;Margaritifera1;20.1760158500;63.8880057335
1;Margaritifera1;19.7767078500;65.8221461661
1;Margaritifera1;15.0955441000;57.8317534185
1;Margaritifera1;15.3918329400;57.5137119494
1;Margaritifera1;17.3571878200;63.1296338936
1;Margaritifera1;17.4423345600;63.3014505605
1;Margaritifera1;15.0335840000;59.8094423065
